rachel_good,rachel_bad,ross_good,ross_bad
"no, no, no, now wait, wa, wa, waa-it a minute, wait a minute, wait a minute, wait a minute. that actually, uh, that sounds interesting.","well, you're not totally paranoid.","no, no, no just do it. go in there and pick something out so we can go.",cat!
i think you should drink the fat.,"um, ok, uh, oh god, um, when you and uh ross first started going out, it was really hard for me, um, for many reasons, which i'm not gonna bore you with now, but um, i just, i see how happy he is, you know, and how good you guys are together, and um, monica's always saying how nice you are, and god i hate it when she's right.",thank you!,my uncle marcel.
"no, no, no, wait! okay, okay. don't! i'll go, i'll go!","yeah, that'd be great. i'd love it.","it was, it was her voice.",marcel?
"you were really gonna do that, weren't you?","all right, julie.",yay!,"marc- oh, this is ridiculous! we've been all over the neighbourhood. he's gone, he's-he's just gone."
you were gonna drink the fat.,bye. what a manipulative bitch.,"no, no, no, no. tick, tick, tick, tick.","oh come on. it's cold, it's dark, he doesn't know the village. and now i have a broken foot. i have no monkey, and a broken foot! thank you very much."
"and i still have about five seconds to spare. okay, that was about seven seconds.","mom, would you relax. that was 10 blocks from here and, the, the woman was walking alone at night, i would never do that. mom, c'mon, stop worrying. this is a safe street, this is a safe building, there's nothing oh my goood, oh my god, oh i gotta go, i gotta go, i gotta go. ok, that's fine, you just read the paper, i'm gonna get a pot, it's not for you. ok, that's fine, read the family circus, enjoy the gentle comedy. aaahh, oh my god, oh my god, oh my god, oh my god, oh my god, oh my god, oh my god, oh my god, aaaaahh. it's open you guys.","um. i know it says black tie optional, but, um this may be pushing it a little, um.","yeah, yeah. y'know, now that you kicked the sign, hey! i don't miss marcel any more!"
"come on. oh! and, uh, by the way....","hi, hi can i help you?",you're not going to go.,"oh, no no no. nono, this is just vintage rachel. i mean, things just sort of happen around you. i mean, you're off in rachel-land, doing your rachel-thing, totally oblivious to people's monkeys, or to people's feelings..."
"i'm going commando, too.","uh, no she doesn't but i can, i can get a message to her.","how, how, um how can you not be going?","i don't even wanna hear it, you're just..."
and rachel what?!!,what?,"um, you know, just out of curiosity...","oh, forget it, okay?"
"excuse me, there was no time!",what!,"right. right, okay, okay. i'm sorry. i'm sorry i yelled.",what? what?
does anybody need more coffee?,"oh as, as opposed to your other multi-functional nipples?","no, but, your-your mad.","hi, did you order some bananas?"
"oh, um, no, no, no, no excuse me, hello. hi. my friend ordered an onion, not an olive, and uh i ordered a rum and diet coke , which i don’t think this is.","ooh, julie's so smart, julie's so special.",no.,gimme back my monkey.
"that’s all right. i mean hard is it to get a couple drinks right, huh?","ohh, i'm gonna have to get over it. god, see i didn't know that's i had to do, i just have to get over it.",your not going.,"marcel? marcel? okay, where is he? where is he? marcel? marcel?"
"ummm, i think it’s time to see the ring again.",bye-bye julie.,okay. you know that i-i have to go.,marcel! what've you done to him?
"yeah, i know.",hey.,right. so is it gonna be like 'i'm abandoning you while your upset.',"are you insane? c'mere, marcel, c'mon."
"oh, i don’t know. well maybe it’s just the idea of barry for the rest of my life. i don’t know i think i feel like i need to have one last fling, y'know, just to sorta get it out of my system.","hey, c'mon, cut it out.","no, because your not upset.","c'mere, marcel."
"i’m serious, i really, i think i need just to have some...meaningless, sex y'know, with the next guy that i see.",what?,about the yelling.,"okay, gimme my monkey back."
"yeah, so?",sure.,"oh, well of course, the humiliating. so, so wee, we're okay.","alright, i want my monkey."
monica! look! hi! what do ya think?,"what? c'mon, talk to me.",we're good.,"you had to be a bitch in high school, you couldn't've been fat."
"yes, his name is barry, he’s a doctor, thank you very much.","why? who's not having. . . are you and julie not, are, are you and, are you and julie not having sex?",okay. honey?,"it'll be nice to get this off finally, won't it? yes it will. or we can leave it on for now, that's fine."
"thank you. so how-how ‘bout you, are-are you seeing anybody?","wow. is it, is it 'cause she's so cold in bed. or, or is it 'cause she's like, kinda bossy, makes it feel like school?",i love you.,"listen, i'm- i'm sorry i was so hard on you before, it's just i..."
"oh, but that’s okay.","no, no no no, don't need to know the details.","okay, okay. enough, enough with the lunging. no! i'm sick of this. okay. i've had it up to here with you two! neither you can come to the party!","yeah, but you were the one who got him back, y'know? you, you were great. ...hey, we uh, we still have that, uh, that bottle of wine. you in the mood for, uh, something grape?"
yeah.,"no, no, no, no i don't think it's weird, i think, i think umm, in fact, in fact you know what i think?","you know what i don't care. the only person i cared about getting dressed, is the one person that says she's not even gonna go. look rach, i'm sorry. okay. look, i-i wa, i was a jerk. i'm sorry i yelled. i want you there, i need you there. look, what, what can i do that can show you how much, how much i want you to be there.","alright. the, uh, the neighbours must be vacuuming. well, so long as we're here and, uh, not on the subject, i was thinking about, uh, how mad we got at each other before, and, um, i was thinking maybe it was partially because of how we, um..."
"oh, yeah, sure, sure, sure, sure. listen, can we please have lunch the next time i’m in the city?",i think it's sexy.,"hi, welcome, to an adult conversation.",we have got to start locking that door!
okay!,let me tell you something. as a woman there is nothing sexier than a man who does not want to have sex.,what?,"i don't know, you don't wanna mess with corn nuts. they're craaazy."
bye!,oh yeah. in fact you know what i'd do?,"okay, okay. if that is what it takes to show you how much you mean to me, and how much i want you there. then that's what i'll do.",i can't believe it! he's looking right at us!
"don’t say anything. i don’t wanna speak, i don’t wanna think. i just want you to take me and kiss me and make love to me right here, right now.",i'd wait.,"i think this will be fine. okay, vanilla milkshake, just a vanilla milkshake, with chicken bits floating in it. cheers.","and ross oh, yeah. yeah. let her dangle."
what?,"yes, absolutely. i would wait and wait. . . then i'd wait some more.",you will?!,"okay, okay, what's going on?"
"oh, sorry.","oh yeah, i don't care how much she tells you she wants it, i don't care if begs, she pleads, she tells you she, she's gonna have sex with, with another man. that just means it's working.","well, yeah.","yeah, well, does he look upset? does he look like he was just told to shove anything?"
"um, barry.",more than jewelry.,"how 'bout instead you, go get changed! you, give him back his underwear! i'm gonna go get a cab, and i want everyone down stairs in two minutes! monica!",what? what? what?!
"no mon, you want to put them in concentric circles. i want to do this.","oh, god, no problem. so you're gonna go with the uh, waiting thing?","okay, okay, okay, i've got two cabs and no people. go! go! go!","that's nice... now, was that before or after you told him to stop calling, stop sending you flowers and to generally leave you alone, hmm?"
oh! that would be sooo much fun!,"what did, what did he say?","rachel!! wow! you, uh, you look, wow!","that's, that's nice twice!"
let’s do it! ross?,"great, people having sex, that's just what i need to see.",so we're a little late.,what was with the dishes?
do you wanna play football?,"well, well um, you know, these movies are offensive and uh, degrading to women and females. and uh, and the lighting's always unflattering. and, monica help me out here.",what?,"...desperate, needy, pathetic?"
"um, there was a geller cup?","no, no, i mean, no, c'mon you guys, i mean, c'mon look it's only eleven thirty. let's just talk, we never just hang out and talk anymore.",awwww!!!,you-you had what?
"wait no, honey, honey throw it to me, throw it to me.","maybe that's all we do, what about julie?",wow! what a pleasure.,"what, uh... what were you thinking?"
that almost hit me in the face.,"well, you have been in our lives for nearly two months now and we don't really know you. i mean, who is julie? i mean, what do you like, what don't you like? we wanna hear everything.",i’m sorry the answer there would be...none of us.,"no! no no, it is nothing like me and carol!"
"monica, i’m your best friend.","so. i mean, who here does not have the time to get to know julie?","yeah, i’ll take some.","it's, it's, it's, uh, a totally diferent situation! it's, it's apples and oranges, it's, it's orthodontists and lesbi- i gotta go."
ross!,"ok julie, so now let's start with your childhood, what was that like?",what?,"i just have to go, all right? do i need a reason? huh? i mean i have things to do with my life, i have a jam packed schedule, and i am late- for keeping up with it. okay?"
you don’t pick me! you’re stuck with me!,"nah, uh, uh, uh, uh.","hey, y'know while we’re on that, when are you gonna tell my sister that you don’t live here anymore.","four letters ""circle or hoop""."
are you okay?,"now, what exactly is in a cobb salad?","phoebe, she doesn’t know that you sneak out every night, she doesn’t know that you sneak back every morning, and she doesn’t know that you’ve been living with your grandmother’s for a week now.",thanks.
over here!,what?,hey.,"""heating device."""
i almost caught that one!,"so, it's pretty late, you're probably uh, not still planning on. . .",so how many more do you have tomorrow?,five letters.
"wait, what am i gonna do?","oh, well, are hey, are you nervous?","sure, your dresser is missing but this she notices.",i just wanna clarify this are you outing mr. peanut?
"wait, how long?","uh, ok, i mean uh, what, how are you gonna handle it. i mean, are, are ya gonna, are ya gonna talk about it before hand, are you just gonna pounce?","i have to go. yeah, carol should be home by now, soo...",second date!
okay.,"nothing, i mean, um, it is your first time with her and, you know if the first time doesn't go well, well then that's, that's pretty darn hard to recover from.","oh, better, actually. y'know i-i-i think i finally figured out why we were having so much trouble lately.","i think when someone steals your credit card, they've kind of already thrown caution to the wind."
"yeah, i know, go long. y'know, it’s like all i’m doing is running back and forth from the huddle.",maybe you should put it off.,"yeah, y'know how i have you guys, well she doesn’t really have any close friends that are just hers, but last week she meet this woman at the gym, susan something, and they really hit it off, and i-i-i think it’s gonna make a difference","marcel, stop humping the lamp! stop humping! now marcel, come back- come here, marcel-"
can i see that for second.,"i know, yeah, sorry.","no real-, honey, really it’s fine, just g-go with susan. really, i, no, i think girls night out is a great idea. okay, okay, bye","what? it's, it's just a phase."
"now, does it really matter?","maybe it, maybe it doesn't have to be this tough. i mean, maybe you were on the right track with this whole, you know, spontaneous thing. i mean, women really like that.","i don’t know, something girlie.",would you all relax? it's not that big a deal.
"all right, so are we not having dinner at all?","yeah, i mean, you know it, i mean, if it were me i, i, you know, i'd want you to, i don't know, like catch me off guard, you know, with like a really good kiss, you know really, sort of um, soft at first, then maybe um brush the hair away from my face, and look far into my eyes in a way that let's me know that something amazing is about to happen.",hi. where is everybody?,what?
i went really long.,"and then, i don't know, i mean you'd pull me really close to you so that, so that i'd be pressed up, you know, right against you. and, um, it would get kind of sweaty and uh, and blurry, and then it's just happening.","my marriage, i think my marriage is um, is kinda over.",hi. chandler and
i can not believe your trading me!!,"ohh, god.","‘cause carol’s a lesbian. and, and i’m not one. and apparently it’s not a mix and match situation.",at the vet.
are you gonna let me play?,hey.,"i’m an idiot. i mean shoulda seen it, i mean carol and i’d be out and she’d, she’d see some beautiful woman, and, and she’d be ross y'know look at her, and i’d think, god, my wife is cool!",she says marcel's humping thing's not a phase. apparently he's reached sexual maturity.
yeah!!! kill ‘um!!!,"uhh, the mailman, the super.","well, now i do!!","she says as time goes on, he's gonna start getting agressive and violent."
no! come on! don’t make me go long. use me. they never cover me.,"ooh, goooosh, ooh, these are cookies smashed in the sports section.","seven years. i mean we’ve been together seven years, she’s the only woman who’s ever loved me, and the only woman i’ve-i’ve ever....",i'm gonna have to give him up. 
"god, i’m not lame, okay. i can do something. i can throw, would you let me throw, come on this is my game too.",horrible and degrading list of reasons not to be with me?,"maybe this would’ve happened if i’d been more nurturing, or i’d paid more attention, or i... had a uterus. i can’t believe this!","i know. i know. i mean, one day, he's this little thing, and before you know it, he's this little thing i can't get off my leg."
thank you! break!,"phoebe, i thought your dad was in prison.",thanks.,"no, no. the vet says unless he's in a place where he has regular access to some... monkey lovin,' he's just gonna get vicious. i've just gotta get him into a zoo."
i’m so sorry! are you okay?,how have you never been on oprah?,thanks.,"well, we're applying to a lot of them. naturally our first choice would be one of the bigger state zoos, y'know, like, uh, san diego... right? but that might just be a pipe dream, because, y'know, he's out of state. uh, my vet, uh, knows someone at miami, so that's a possibility."
"i’m sorry, they were just all coming at me, and i didn’t know what to do.","well, that doesn't sound like a very merry christmas.","wait, wait, wait, wait, wait.",what?! are you insane? this woman stole from you. she stole. she's a stealer.
okay.,"no, nothin'.","wait, wait, wait.","yeah, which she probably stole from some cheerleader."
i got a touchdown! we did it!!,"oh, by the way mon, i don't think the mailman liked your cookies. here are the ornaments your mom sent.",my foot is stuck in the pocket.,"oh god. we didn't get into scranton. that was like our safety zoo. they take like dogs and cows. see? i don't know who this is harder on, me or him."
we should defiantly play football more often. maybe there’s a like league we could join or something.,"wha... forget it ross, no, i am not gonna stand here and make a list of. . .","no, i can’t get it out.","marcel! marcel! marcel, no! good boy. see, how can nobody want him?"
oh shoot! i work monday nights.,"ok, you're whiney, you are, you're obsessive, you are insecure, you're, you're gutless, you know, you don't ever, you don't just sort of seize the day, you know. you like me for what, a year, you didn't do anything about it. and, uh, oh, you wear too much of that gel in your hair.","no, come on don’t start. ouch!",where exactly is your zoo?
hey.,"yeah, and you know what? you're right, i do feel better, thank you ross.","stupid balls are in the way. , and sit up. ross hits his head on the lamp again.]",yes.
"well, we never actually got to dinner.","oh, gosh, it's hot in here.",oh well. it probably would’ve been the most constructive solution.,"no-no, he's, he's very docile."
"no, we kinda broke up instead.",did you just break the radiator?,huh?,"well i, i don't know. why?"
"god, monica it’s on the ceiling.",i'll call the super.,my wife’s a lesbian.,"he can hold a banana, if that's whatcha mean..."
"yeah, but it’s okay, because when ross left mark came over.","hi, mr. treeger. hi, it's rachel green from upstairs. yes, somebody , uh, broke our knob on the radiator and it's really hot in here. yes, it's, it's hot enough to bake cookies. well, do you think we could have a new one by 6? wha t, no, no, tuesday, we can't wait until tuesday, we're having a party tonight.",hi.,why- why- why would he need a blade?
no.,"hi, welcome to our tropical christmas party. you can put your coats and sweaters and pants and shirts in the bedroom.",halftime.,"he's in! oh, did you hear that, marcel? san diego. san diego!"
"no, no-no, it’s okay, calm down. mark and i talked, and i realised how much i love your stupid brother, and, yeah, we got our problems, but i really want to make it work.",mr. treeger.,what?,"aww. thank you, aunt phoebe."
"hi, it’s me. i’ve been trying to reach you all night. i feel awful. please, ross, you gotta know there is nothing between me and mark. this whole break-up thing is just stupid.","oh, yeah, well hey, welcome to our sauna.","um, monica and i aren’t supposed to play football.","just, just say what you feel."
"eh, i’m just so sorry i put you through it. and, i y'know, i don’t want to get back together over a machine.","yeah, i'm with mon.",a and ross yeah.,that was good.
"so, i love you.",what'cha gonna' do?,"it was soo not an accident. she saw i was about to tag her, so she threw her big fat grandma arm elbow right into my face. and just keep running.","uh, if you guys don't mind, i'd like to take a moment, just me and him."
"and y'know what, i’m gonna, i’m gonna go to bed now, but ah, on my way to work tomorrow morning, i’m gonna stop by around 8 30.",nice seizing. . . gel boy.,"whoa, whoa, whoa, ho, ho, ho, you did not win the game, the touchdown didn’t count, because of the spectacularly illegal, oh and by the way savage nose breaking.","marcel, c'mere, c'mere. well buddy, this is it. there's just a coupla things i want to say. i'm really gonna miss you, and i'm never gonna forget about you. you've been more than just a pet to me, you've been more like a be- okay, marcel, please, could you leave my leg alone? could you just stop humping me for two seconds?! marcel, would- okay, just take him away. just take him."
bye.,"huh-huh, no act--no, uhh, that, that is basil.",oh yeah! then how come you didn’t get the geller cup?,what are you guys doing?
"hi. ohhh, you got my message.","huh-hoo, yeah, no, it's still basil.","yes, it was the trophy you got if you won the game. but our dad said, ‘nobody won that game, ‘ and he was sick of our fighting, so he took the trophy and.... threw it in the lake.","look, would you guys grow up? that is the most natural beautiful thing in the world."
so what do you say? can i be your girlfriend again?,wiper blades. i don't even have a car.,anyway. that’s when our mom said we were not to play football ever again.,"this is my son having lunch, ok? it's gonna happen a lot, so you'd better get used to it. now if you have any problem with it, if you're uncomfortable, just ask questions. carol's fine with it, now come on."
i can’t talk to you. i can’t even look at you right now!,"joey, would you slow down? they're not gonna be sold out of papers at one o'clock in the morning.",can i see you for a second?,carol?
just get away from me!,"joey, honey, they don't know what they're talking about.","all right, we’re gonna play.","hi, honey."
a mistake?! what were you trying to put it in? her purse?!,"we went through a lot of wine tonight, you guys.",here you go.,hello to the rest.
"ross, you had sex with another woman!",i had one glass.,a and ross bunny!,"so, uh, jules tells me you guys are going shopping tomorrow?"
"y'know what, i want you to leave! get outta here!","ok, so that's... that's what, two bottles? and yet somehow we went through five?","sweetie, don’t worry you’ll get picked. chandler.","it's a big deal to me. this is great, monica. i really appreciate this."
just get out! now!!,"ehhhummmm, i don't know, why don't you taste it.","sweetie, now i pick you.","carol, we've been through this before, ok? we have a good time. we laugh, we play. it's like we're father and son."
okay! all right! how was she?,"oh well, too late, sorry, you already had some.","okay. all right. so let’s see, let’s play from the trash can, to the lightpost. right. two hand touch, we’ll kick off.",my mommies love me. that's clever.
was she good?,"yeah, we're gonna... we're gonna get some cake.",oww!! son of a...!! ow! come on!,"thanks aunt pheebs. hey, you didn't microwave that, did you, because it's breast milk, and you're not supposed to do that."
"come on ross! you said you wanted to talk about it, let’s talk about it!! how was she?","ummmm.... well, actually i'm already done, but i...i kinda got plans.","come on, let’s go!",it's breast milk.
good different?,"yeah... i, uhh... i have a... i have a date.","yeah, losers talk!","ok, would people stop drinking the breast milk?"
"whoa!! whoa, whoa, wait a minute. what time did your little friend leave? oh my god. she was there? she was still there? she was in there, when i was in there?!",what? what is so strange about me having a date?,yeah!,no!
and yet she was worth jeopardising our relationship!!,"noooo, no, i'm not mad at him. i'm.. i'm not really anything at him anymore.","okay, this play, i want you to do a down and out to the right. okay. break!",not even if carol's breast had a picture of a missing child on it.
we were on a break!,"i don't know. whatever i was feeling, i'm... not.","you, you go long.",i did not freak out.
you think you’re gonna get out of this on a technicality?,"oh, i know, i'm sorry you guys. you're just gonna have to get used to the fact that i will not be dating ross. .]",until we start to look very small.,because it's breast milk. it's gross.
"well, you sure had a hell of a time at the wake!","here he is. hi. guys, this is russ.",break!!,"no, no, carol. there's nothing wrong with it. i just, i just don't think breast milk is for adults."
god! and to have to hear about it from gunther!!,what's the matter?,"one-mississippi, two-mississippi, switch! switch! switch!!",that would be no.
"oh, that is so sweet. i think i’m falling in love with you all over again.","what, isn't he sober?","uh, hello, it’s third down.",you've tasted it? you've tasted it.
all right. let’s say i had slept with mark. would you have been able to forgive me?,"ohhh, ok.",wow!,"oh, you've tasted it."
"you’d be okay if you knew that mark had kissed me, and been naked with me, and made love to me?",maybe it was just the kind of story where you have to be there.,it just amazes me that your still pulling stuff like this.,gimme the bottle. gimme the towel.
"you knew that our hot, sweaty, writhing bodies were....","hi russ, i've just got two more tables to clean and then we'll go, ok?","okay, it’s second down. take all the second downs you need.",that's not bad.
"i’m thinking, i’m gonna order a pizza.",hi.,"well, i said it loud.","you see, and you thought she'd be judgemental."
"fine. hi! yes, i’d like to order a large pizza.",uhh.... waitressing?,"chandler, i want you to run a post pattern to the left, okay. and sweetie..","whip it out, whip it out."
"with ah, extra anchovies.","huh, bob saget?","well ah, you wanna just stay out there?","joey, what did you think a nubbin was?"
"yeah, and could you please chop some up and just put it right there in the sauce?",oh.,yeah.,you were in a porno?
"well, i should think so. you slept with someone.","well, we're not seeing each other, so....",okay. hut! hike!,so what's it shaped like?
that’s....,"well, yeah, this is the deal.","uh, hello, the buzzer buzzed. it doesn’t count.","so, uh, does it do anything, you know, special?"
that is neither here nor there.,"um, russ, you ready?",before the snap!,"you know, you are so amazing, is there anything you, you don't know?"
"no ross!! don’t! you can’t just kiss me and think you’re gonna make it all go away, okay? it doesn’t work that way. it doesn’t just make it better. okay?",bye.,"oh pheebs, that’s great. it doesn’t count.","oh, darnit, we're all out of milk. hey chandler, would you fill me up here?"
i think you should go.,what?,"cheater, cheater, compulsive eater.","ok sweetie, i'll see you later."
i really think you need to go now.,"no, phoebs. i'm dating russ","oh-ho, okay.",hey.
"yeah, what the hell did i know!",steve... sleeve!,"ow! ow! okay, okay, fine, fine! all right, you wanna win by cheating, go ahead, all right. phoebe the touchdown does count, you win.",hey?
"no. i can’t, you’re a totally different person to me now. i used to think of you as somebody that would never, ever hurt me, ever. god, and now i just can’t stop picturing with her, i can’t, it doesn’t matter what you say, or what you do, ross. it’s just changed, everything. forever.","phoebe, what the hell are you talking about? other than their names being similar, i'm sorry, i do not see what you're seeing.","okay, first of all, i don’t play with cheaters, and second of all, you know i had swollen glands!!",can i ask you somethin'?
then how come it is?,"ewww, ewww, ewww, ewww!",oh really! why is that?,naa.
so who’s idea was it to put everybody in the diner on skates?,did joey say what he was gonna go when he left?,the geller cup.,"ok, what's the longest you've been in the relationship before ha, have, having the sex?"
what a jerk! you want me to kick his ass?,i don't know. who would i have to sleep with?,"okay, where in the hell did you get that?!","technically, huh, no."
and you’re still not attracted to him at all?,why would i have to sleep with you?,that cup is mine!,"no, no, she's great and it's not like we haven't done anything. i mean, uh, uh, we, we do plenty of other stuff, lot's of other stuff, like uhh. . ."
"yeah, but mon that’s totally different. he was you’re health teacher.","oh god, even his knock is boring.",chandler! chandler!,"it's just, it's, it's me. you, you know i've only been with one woman my whole life and she turned out to be a lesbian. so now i've got myself all psyched out, you know, and it's become, like this, this thing and i. . . well, you just must think i'm weird."
"oh, i am, my side still hurts from when you crashed into me yesterday.",what happened?,whoa! whoa! whoa! what’s with the tackling?,what?
i know.,did i miss it? did i miss it?,"okay, you wanna play rough, we can play rough.",sexy?
ow!!,"i'm sorry, what?","hey, where’d you get that?",no kidding?
got a job on a river boat?,that's great!,"it’s no surprise that your winning, ‘cause you got to pick first, so you got the better team.",what?
"oh i see, so this suit is making a point.",what do you mean?,"what?! the guys against the girls? see, that’s ridiculous monica, because i’m only down by three touchdowns.",you'd wait?
"now that you’re on you’re own, you’re free to look as stupid as you like.","ok, who ordered what?","fine, fine, rachel your with monica, joey you’re with me.",really?
"yeah, come here!",oh god.,"right. okay, let’s play. let’s go.",women really want this?
yeah. oh! was how you invented the cotton gin?!,"i know, but it's just it's the first time, and i just don't want her to think that because i didn't marry barry, that my life is total crap, you know?","enough with geography for the insane, okay? let’s play some ball, guys.","julie, can you hold this for a second, thanks."
oww!,mom!,"okay, y'know what, let’s just cut to the chase here. okay? heidi, which of my boys do you like?",hi everyone.
oww!,pretty much.,"yeah, y'know for dating, general merriment, taking back to your windmill...","i just, i wanted to thank you for our uh, our little talk before."
"i’m fine, i’m fine.","this is joey, and phoebe, and this is chandler, and you remember ross.","save the breakthroughs for therapy, okay. the clock is ticking. we have no time, and we are losing, we are losing to girls.","well, i was going to, but after i talked to you, i talked to joey."
yes i am!,oh mom!,hey! it’s 42-21!,"basically he told me to get over myself and just do it, ya know. so i though about what you said and i though about what he said and, well, his way i get to have sex tonight so. . ."
"look, i’m fine. watch. look at that. whoa-whoa!",really?,let go! let go!,pop it in.
"no. i have got to get ready and go to a dinner at my bosses house. it’s a very big deal, there’s a lot of people there i have to meet.","i know. and mom, i realize you and daddy were upset when i didn't marry barry and get the big house in the suburbs with all the security and everything, but this is just so much better for me, you know?",no! you let go!,what's wrong with people having sex?
"well, i will go to the hospital tomorrow, it’ll still be broken then.",for...me.,how come it’s always us left in the field holding the ball?,looks to me like he's the one getting the job.
"but y'know, i could use a hand getting ready.","well, what do you mean?",hey! it’s starting to snow.,goodnight.
"look, either help me or go.",oh god. i think i'm gonna be sick.,gimme the this!,"oh, no no, i am."
"okay, but before you go, could you help me first?",none.,yeah!!,"um, no, i uh, i have done it before."
"y'know what? i cannot do this with my left hand! would you please, help me with this too?","no! they didn't even talk to each other. god, how was i supposed to know they were having problems?",na-huh.,"i uh, i don't know, i guess i'm just gonna see, see what happens."
okay. let’s use this brush.,"i just can't believe this is happening. i mean, when i was little, everybody's parents were getting divorced. i just figured as a grownup i wouldn't have to worry about this.",i love you.,"wha, uhh, what?"
yeah.,"well, then, you know, couldn't she have just copied my haircut?",okay.,"ok, now i'm nervous."
"careful. light. okay, do you know how, just sweep it across the lid. okay? just sweep it.",these are from halloween three years ago.,"chloe, chloe how’s it coming?!!","no, no, i don't wanna put it off, i just, god i just, i spent last year being so unbelievably miserable, ya know, and now, now i'm actually happy. you know, i mean, really happy. i just, i just don't wanna, i don't wanna mess it up, ya know."
oh-ho!,"no, that was his costume. see, he's actually an orthodontist, but he came as a regular dentist.","umm, oh, hey, i don’t know. how about a big one?","what, it's not your fault."
hey! that’s just poking me in the eye!,"actually, what i think you said was, ""don't touch that, and get the hell out of my kitchen.""","well then a small one!! listen, let’s, we kinda have to get going!",really?
"okay, just sweep it.","hey, mon, you want some help?","you, you sure you need shoes? okay.",uh-huh.
right.,she's still with you?,"yeah, y'know the ah, the girlfriend i told you about last night? well it turns out she ah, she wants to get back together with me. oh, i found it!!","ohh. . . thanks rach, goodnight."
"okay, now make it even, ‘cause we don’t...",god!,yeah!,good morning.
"we don’t want it-it to be too much, we want it to be subtle.",oh! what's new in sex?,"yes, yes i am, one of the many things i’m feeling. well....",twice.
"since when, since when do you think i don’t wear enough of this?","oh, i'm sorry. you know what? i cannot have this conversation with you. i mean, god, you just come in here, and drop this bomb on me, before you even tell daddy. what? what do you want? do you want my blessing?","oh, thank you. hey, hey. rachel!!!!","so you guys, who else did you tip with cookies?"
blow it.,you want me to talk you out of it?,"yeah, oh hey, you are right on time.","yeah, but not very well, unless 14-across, 'gershwin musical' actually is bitemebitemebitemebiteme. opening titles"
sophisticated like a hooker?,then what? what do you want?,"yes, you can, very much.",hey guys.
sure.,why on earth would i understand this?,ahhhh!!,"hey rach. i, uh, got you a little present. . . i'll open it. it's a slinky! remember, huh. walks down stairs, alone or in pairs, everyone knows it's . . . just a big spring. alright, you still mad at me becuase of the whole. . ."
"sure, i’ll just sit next to the trans-sexual from purchasing.",oh.,"you think?! god, i, ah, i’m in hell. i mean what, what am i gonna do? rachel’s all like, ‘i love you and, and let’s work on this.’ and all i can think about is, ‘what is she gonna do? what is she gonna say?’ when i tell her what i did.","how 'bout from now on we just call it the 'unfortunate incident'? hey gunther, you got stairs in your place?"
"oh wait, ross, would you just stay and help me get dressed?","hey, mom? having fun?","what?! look, we’re trying to rebuild a relationship here, right. how am i supposed to do that here, without being totally honest with each other?","here, go nuts."
"okay. okay, great! umm, okay, just turn around.","there's more alcohol, right?","yeah, but don’t you think....",hey guys.
i don’t want you to see me naked!,i had a wedding.,"yeah, okay.","um, just some presents."
"yeah, but that was different. y’know? i mean, we were, we were going out then, now i think it’s weird.",what?,what trail?,"ok. ok, this is a picture frame from ben to my parents, huh."
what?,that's not the end.,"oh, i-i don’t think there’s any trail.","i got some, uh, hers and hers towels for susan and carol. and, uh, i got this blouse for mom."
ross! stop that!,"hey phoebs, whatcha got there?",chloe? hi..,yeah?
come on! i don’t want you thinking of me like that any more!,hey.,you took my watch?,"uh, macy's, third floor, home furnishings."
stop it! cut it out! cut it out!,"wow, he must like you the best.","just you keep it, listen did you, did you tell anyone about us?","hey, anyone hear from phoebe yet?"
rosss...,no luck huh?,"exactly. so you didn’t, didn’t mention anything to issac right?","yeah, what're you guys doin' here, aren't you supposed to be christmas shopping?"
all right. fine.,"oh, yeah sure, ok.","you tell, of course you do. issac. issac. hey, issac. issac, hi! y'know we haven’t actually met...","hey, rach, you know what? i think, i think i know what'll make you feel better. how 'bout you make a list about me."
"o-kay!! see what you did, i’m gonna be doing it by myself now. okay?","uh, i'm holding ben.","yes, i suppose i am a dog. but issac, see i-i happen to have a girlfriend.",c'mon rachel.
that’s it. ow!!!,ok.,"yeah, that’s the one. listen, i don’t want to hurt her.","see there, you uhh, alright, ya, you did what i said."
oh-ow!,this is how i would hold a football.,"yeah. listen, can you keep this information to yourself?","c'mon, just tell me, please, please."
ow!,"ok, i'm sorry, i'm just not very good with babies. i mean i haven't been around them, i mean, you know, since i was one.","actually, no, we’re not.","sure. by the way, there's a difference between being obsessive and. . ."
ow!,really?,"no, we’re not.","fine, ok! heat, heat, heat, and i'm the obsessive one. ok, this way is on, so this is. . . off."
ow!,what?,"no, we’re not!!","no, no, i was turnin' the knob and, and. . . here it is."
ow! ow!,you think about stuff like that?,right.,"it uhh, it won't go back."
"okay, i do.","two, two babies?",fine. i just need to know that you’re not gonna tell your sister.,"oh, oh that's right, i forgot about your ability to fuse metal."
i really do.,then what's gonna happen?,jasmine?,"ok, tip the man."
"okay. oh wait, wait-wait, you’re not gonna come with me?",uh-huh.,"we met at phoebe’s birthday party, i’m, i’m ross geller.","hey, here's a theme come on in, live like bacon."
okay.,"wow. wow, that's great. great. ok, wow, you know what.","yes, i did.","it's hard to tell because i'm sweating, but i use exactly what the gel bottle says, an amount about the size of a pea. how, how can that be too much?"
