season,episode,title,director,release_date,all_cast,Rating,number_of_reviews,short_summary,writer,views,month,central_perk_loc,monicas_loc,chandlers_loc,ross_loc,monicas_lines,rachel_lines,ross_lines,phoebe_lines,joey_lines,chandler_lines,all_lines,num_guest_stars,common_director,epi_type,catchphrases,title_about,gunther,janice,richard,heckles,frank,estelle,ursula,part_1,rat_grouped
2,12, The One After the Superbowl: Part 1 ,Michael Lembeck , 28 January 1996,"[""'Courteney Cox'"", "" 'Matt LeBlanc'"", "" 'David Schwimmer'"", "" 'Brooke Shields'"", "" 'Fred Willard'"", "" 'Sean Masterson'"", "" 'Lawrence A. Mandley'"", "" 'Karman Kruschke'"", "" 'David Crane'"", "" 'Katie'"", "" 'Thomas James Kepner'"", "" 'Jennifer Aniston'"", "" 'Lisa Kudrow'"", "" 'Matthew Perry'"", "" 'Chris Isaak'"", "" 'Dan Castellaneta'"", "" 'Roark Critchlow'"", "" 'Tahj Mowry'"", "" 'D. Elliot Woods'"", "" 'Kevin Bright'"", "" 'Jim Cummings'"", "" 'Marta Kauffman'"", "" 'Jean-Claude Van Damme'"", "" 'Seth Isler'"", "" 'Julia Roberts'"", "" 'Lisa Roberts Gillan'"", "" 'Steven M. Porter'""]",8.701796407185629,3841,"Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library. Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme.",Jeffrey Astrof & Mike SikowitzMichael Borkow,52.9,1,0.1724137931034483,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.10042735042735043,0.11752136752136752,0.1047008547008547,0.10256410256410256,0.13675213675213677,0.14743589743589744,0.01282051282051282,4,Michael Lembeck,reg,0,other,0,0,0,0,0,0,0,1,above
2,14, The One with the Prom Video ,James Burrows , 1 February 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Patrick Kerr', 'Michael Bower', 'Tim Bohn', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Elliott Gould', 'Christina Pickles', 'Lou Thornton']",9.4,5797,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.,Alexa Junge,33.6,2,0.25,0.5,0.16666666666666666,0.0,0.17479674796747968,0.11788617886178862,0.17886178861788618,0.06504065040650407,0.07317073170731707,0.13414634146341464,0.008130081300813009,0,James Burrows,reg,0,other,0,0,0,0,0,0,0,0,above
2,15, The One Where Ross and Rachel... You Know ,Michael Lembeck , 8 February 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck']",8.9,3976,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,Michael Curtis & Gregory S. Malins,32.9,2,0.0,0.125,0.4375,0.0,0.18699186991869918,0.21138211382113822,0.22357723577235772,0.07723577235772358,0.09349593495934959,0.07723577235772358,0.012195121951219513,0,Michael Lembeck,reg,0,"['rachel', 'ross']",0,0,1,0,0,0,0,0,above
2,16, The One Where Joey Moves Out ,Michael Lembeck , 15 February 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Audrie Neenan', 'Christina Pickles', 'Josie DiVincenzo', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Elliott Gould', 'Warren Berlinger', 'Stephen Samuels']",8.6,3482,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,Betsy Borns,31.1,2,0.0,0.11764705882352941,0.4117647058823529,0.0,0.125,0.10294117647058823,0.08088235294117647,0.10661764705882353,0.16911764705882354,0.15441176470588236,0.0,0,Michael Lembeck,reg,0,['joey'],0,0,1,0,0,0,0,0,av
2,17, The One Where Eddie Moves In ,Michael Lembeck , 22 February 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'DeeDee Rescher', 'Linda Lutz', 'Paxton Culpepper', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Adam Goldberg', 'Barry Heins', 'Willie Basse', 'James Michael Tyler']",8.3,3456,"Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment.",Adam Chase,30.2,2,0.3125,0.25,0.375,0.0,0.17872340425531916,0.07659574468085106,0.1702127659574468,0.14042553191489363,0.16170212765957448,0.1574468085106383,0.0425531914893617,1,Michael Lembeck,reg,0,other,1,0,0,0,0,0,0,0,av
2,18, The One Where Dr. Ramoray Dies ,Michael Lembeck , 21 March 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Adam Goldberg', 'Mary Gallagher', 'Brian Posehn', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Roark Critchlow', 'Vanessa Sandin', 'James E. Reilly', 'James Michael Tyler']",8.5,3451,"Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica.",Alexa Junge & Michael Borkow,30.1,3,0.125,0.375,0.4375,0.0,0.1417004048582996,0.12550607287449392,0.1214574898785425,0.08097165991902834,0.06882591093117409,0.14979757085020243,0.0,1,Michael Lembeck,reg,0,other,1,0,1,0,0,0,0,0,av
2,19, The One Where Eddie Won't Go ,Michael Lembeck , 28 March 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'June Gable', 'Jason Graae', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Adam Goldberg', 'James Michael Tyler', 'Tim Hutchinson']",8.6,3543,"Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want.",Michael Curtis & Gregory S. Malins,31.2,3,0.25,0.125,0.5,0.0,0.11320754716981132,0.09433962264150944,0.13962264150943396,0.07547169811320754,0.22264150943396227,0.15849056603773584,0.0,1,Michael Lembeck,reg,0,other,1,0,0,0,0,1,0,0,av
2,20, The One Where Old Yeller Dies ,Michael Lembeck , 4 April 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jane Sibbett', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Jessica Hecht', 'James Michael Tyler']",8.2,3339,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,Michael Curtis & Gregory S. Malins & Adam Chase,27.4,4,0.16666666666666666,0.5833333333333334,0.08333333333333333,0.16666666666666666,0.14634146341463414,0.16376306620209058,0.20557491289198607,0.09059233449477352,0.08710801393728224,0.09407665505226481,0.0,0,Michael Lembeck,reg,0,other,1,0,1,0,0,0,0,0,below
2,21, The One with the Bullies ,Michael Lembeck , 25 April 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Nicky Katt', 'Laraine Newman', 'Richard Saxton', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Peter DeLuise', 'Giovanni Ribisi', 'James Michael Tyler', 'Jill Melody']",8.2,3383,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,Brian Buckner & Sebastian Jones,24.7,4,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.0,0.08996539792387544,0.12110726643598616,0.1453287197231834,0.1522491349480969,0.11418685121107267,0.14878892733564014,0.0034602076124567475,0,Michael Lembeck,reg,0,other,1,0,0,0,1,0,0,0,below
2,22, The One with the Two Parties ,Michael Lembeck , 2 May 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Ron Leibman', 'Nancy Rubin', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Marlo Thomas', 'James Michael Tyler', 'Lewis Dix Jr.']",9.0,4210,"Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting.",Alexa Junge,25.5,5,0.125,0.5,0.0,0.0,0.17180616740088106,0.13215859030837004,0.13656387665198239,0.09691629955947137,0.07048458149779736,0.1277533039647577,0.013215859030837005,1,Michael Lembeck,reg,0,other,1,0,0,0,0,0,0,0,above
2,23, The One with the Chicken Pox ,Michael Lembeck , 9 May 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Dorien Wilson', 'Mary-Pat Green', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Charlie Sheen', 'Steve Park']",8.1,3403,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,Brown Mandell,26.1,5,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,0.15384615384615385,0.0728744939271255,0.06072874493927125,0.14979757085020243,0.13360323886639677,0.12550607287449392,0.004048582995951417,1,Michael Lembeck,reg,0,other,0,0,1,0,0,0,0,0,below
2,24, The One with Barry and Mindy's Wedding ,Michael Lembeck , 16 May 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Maggie Wheeler', 'Jana Marie Hupp', 'Jackie Bright', 'Mindy Sterling', 'Richard Lawrence', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Mitchell Whitfield', 'Peter Spears', 'Fritzi Burr', 'Paxton Culpepper']",8.2,3381,Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,Ira Ungerleider & Brown Mandell,29.0,5,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.16417910447761194,0.16417910447761194,0.1044776119402985,0.11442786069651742,0.0945273631840796,0.12437810945273632,0.029850746268656716,1,Michael Lembeck,fin,1,other,0,1,1,0,0,0,0,0,below
3,1, The One with the Princess Leia Fantasy ,Gail Mancuso , 16 September 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Christina Pickles', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Maggie Wheeler', 'Elliott Gould']",8.4,3533,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.,Michael Curtis & Gregory S. Malins,26.8,9,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.12448132780082988,0.16182572614107885,0.2033195020746888,0.07883817427385892,0.14937759336099585,0.17012448132780084,0.004149377593360996,0,Gail Mancuso,prem,0,other,0,1,0,0,0,0,0,0,av
3,2, The One Where No One's Ready ,Gail Mancuso , 26 September 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Peter Dennis', 'Tom Selleck']",9.0,4701,"A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space.",Ira Ungerleider,26.7,9,0.0,0.75,0.0,0.0,0.11578947368421053,0.15789473684210525,0.27017543859649124,0.10175438596491228,0.1368421052631579,0.15087719298245614,0.007017543859649123,0,Gail Mancuso,reg,1,other,0,0,1,0,0,0,0,0,above
3,3, The One with the Jam ,Kevin Bright , 3 October 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Maggie Wheeler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'David Arquette', 'James Michael Tyler']",8.1,3370,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.,Wil Calhoun,25.2,10,0.25,0.4166666666666667,0.16666666666666666,0.0,0.1459227467811159,0.13733905579399142,0.15021459227467812,0.15879828326180256,0.15879828326180256,0.11587982832618025,0.012875536480686695,1,Kevin Bright,reg,2,other,1,1,0,0,0,0,0,0,below
3,4, The One with the Metaphorical Tunnel ,Steve Zuckerman , 10 October 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jessica Hecht', 'Charles Thomas Allen', 'Edo Azran', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jane Sibbett', 'Maggie Wheeler', 'John Christopher Allen', 'Sierra Dawn Hill', 'James Michael Tyler']",8.1,3242,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.,Alexa Junge,26.1,10,0.25,0.4166666666666667,0.16666666666666666,0.0,0.1271186440677966,0.09322033898305085,0.09745762711864407,0.15254237288135594,0.18220338983050846,0.2033898305084746,0.00423728813559322,0,other,reg,0,other,1,1,0,0,0,0,0,0,below
3,5, The One with Frank Jr. ,Steve Zuckerman , 17 October 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Giovanni Ribisi', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Isabella Rossellini', 'Cynthia Mann', 'James Michael Tyler']",8.1,3337,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.,Shana Goldberg-Meehan & Scott Silveri,23.3,10,0.26666666666666666,0.2,0.26666666666666666,0.0,0.08992805755395683,0.09352517985611511,0.12589928057553956,0.19784172661870503,0.12589928057553956,0.1474820143884892,0.007194244604316547,1,other,reg,0,other,1,0,0,0,1,0,0,0,below
3,6, The One with the Flashback ,Peter Bonerz , 31 October 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'John Lehr', 'Marissa Ribisi', 'Christy L. Medrano', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Larry Hankin', 'Michele Maika', 'Maggie Wheeler']",9.1,4349,"The gang remember the events three years ago, when several of them almost slept together.",David Crane & Marta Kauffman,23.3,10,0.0625,0.1875,0.0625,0.0,0.23387096774193547,0.08870967741935484,0.12903225806451613,0.1693548387096774,0.10080645161290322,0.1693548387096774,0.0,0,Peter Bonerz,reg,0,other,0,1,0,1,0,0,0,0,above
3,7, The One with the Race Car Bed ,Gail Mancuso , 7 November 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Khalil Kain', 'Mark Cohen', 'James Michael Tyler', 'Shashi Bhatia', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Ron Leibman', 'Maggie Wheeler', 'Andre Rosey Brown', 'Simon Harvey', 'Steven Harad', 'Dan Martin']",8.3,3278,"Joey becomes a learning extension teacher in soap acting, and loves the respect from even more clueless kids. Monica chooses a ridiculously cheap bed from Janice's ex; Phoebe signs for her ...                    See full summary »",Seth Kurland,27.4,11,0.17647058823529413,0.17647058823529413,0.0,0.0,0.06722689075630252,0.15546218487394958,0.2184873949579832,0.13025210084033614,0.14285714285714285,0.05042016806722689,0.008403361344537815,0,Gail Mancuso,reg,0,other,1,1,0,0,0,0,0,0,av
3,8, The One with the Giant Poking Device ,Gail Mancuso , 14 November 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Maggie Wheeler', 'John Christopher Allen', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'James Michael Tyler', 'Charles Thomas Allen', 'Jon Haugen']",8.4,3298,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.,Adam Chase,28.7,11,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.0,0.13983050847457626,0.1694915254237288,0.1271186440677966,0.11016949152542373,0.15677966101694915,0.1864406779661017,0.0,0,Gail Mancuso,reg,0,other,1,1,0,0,0,0,0,0,av
3,9, The One with the Football ,Kevin Bright (as Kevin S. Bright)    , 21 November 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Susanna Midnight']",9.0,4645,"Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football.",Ira Ungerleider,29.3,11,0.0,0.5,0.0,0.0,0.22837370242214533,0.11418685121107267,0.2179930795847751,0.08304498269896193,0.1453287197231834,0.1453287197231834,0.006920415224913495,0,Kevin Bright,reg,1,other,0,0,0,0,0,0,0,0,above
3,10, The One Where Rachel Quits ,Terry Hughes , 12 December 1996,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Shelley Berman', 'Kyla Pratt', 'Sandra Gould', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Mae Whitman', 'James Michael Tyler', 'Romy Rosemont', 'Gene Crane', 'Julie Grady Thomas']",8.1,3308,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.,Gregory S. Malins & Michael Curtis,25.1,12,0.3333333333333333,0.06666666666666667,0.0,0.0,0.0730593607305936,0.1461187214611872,0.2511415525114155,0.091324200913242,0.1095890410958904,0.136986301369863,0.0045662100456621,1,other,reg,0,['rachel'],1,0,0,0,0,0,0,0,below
3,11, The One Where Chandler Can't Remember Which Sister ,Terry Hughes , 9 January 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Shelley Berman', 'Alex Meneses', 'K.J. Steinberg', 'Thomas James Kepner', 'Dena Miceli', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Steven Eckholdt', 'Mimi Lieber', 'Penny Santon', 'Lisa Melilli', 'Holly Gagnier', 'Lisa Maris', 'Ira Ungerleider']",8.6,3419,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.,Alexa Junge,29.8,1,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.0,0.14814814814814814,0.1919191919191919,0.18181818181818182,0.06060606060606061,0.09764309764309764,0.1750841750841751,0.016835016835016835,0,other,reg,0,['chandler'],0,0,0,0,0,0,0,0,av
3,12, The One with All the Jealousy ,Robby Benson , 16 January 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Obba Babatundé', 'James Michael Tyler', 'Hillary Matthews', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Steven Eckholdt', 'Carlos Gómez', 'Wendy Schaal']",8.2,3252,"Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.",Doty Abrams,29.6,1,0.125,0.1875,0.3125,0.0,0.10245901639344263,0.16393442622950818,0.19672131147540983,0.06557377049180328,0.10655737704918032,0.12295081967213115,0.0,0,other,reg,0,other,1,0,0,0,0,0,0,0,below
3,13, The One Where Monica and Richard Are Just Friends ,Robby Benson , 30 January 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'James Michael Tyler', 'Gina Hecht', 'Laura Bennecke', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Tom Selleck', 'Markus Flanagan', 'Steven Harad', 'Robert Aguilar Jr.']",8.2,3266,"Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction"".",Michael Borkow,28.0,1,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.0,0.1875,0.13602941176470587,0.11029411764705882,0.09191176470588236,0.1213235294117647,0.09191176470588236,0.007352941176470588,0,other,reg,0,['monica'],1,0,1,0,0,0,0,0,below
3,14, The One with Phoebe's Ex-Partner ,Robby Benson , 6 February 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Steven Eckholdt', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Sherilyn Fenn', 'Elizabeth Daily']",7.9,3254,"Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg.",Wil Calhoun,28.9,2,0.3157894736842105,0.2631578947368421,0.10526315789473684,0.0,0.12735849056603774,0.11320754716981132,0.1320754716981132,0.15566037735849056,0.10849056603773585,0.14150943396226415,0.0,0,other,reg,0,['phoebe'],1,0,0,0,0,0,0,0,below
3,15, The One Where Ross and Rachel Take a Break ,James Burrows , 13 February 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Stephen Kearney', 'Angela Featherstone', 'Maury Ginsberg', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Steven Eckholdt', 'Jim Pirri', 'Laura Dean', 'James Michael Tyler']",8.5,3495,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.,Michael Borkow,27.3,2,0.11764705882352941,0.35294117647058826,0.0,0.0,0.11155378486055777,0.18326693227091634,0.17928286852589642,0.13147410358565736,0.08366533864541832,0.099601593625498,0.0,0,James Burrows,reg,0,"['rachel', 'ross']",1,0,0,0,0,0,0,0,av
3,16, The One with the Morning After ,James Burrows , 20 February 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'James Michael Tyler', 'Cynthia Mann', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Angela Featherstone', 'Maury Ginsberg']",9.1,4251,"Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.",David Crane & Marta Kauffman,28.3,2,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.12452830188679245,0.17735849056603772,0.2981132075471698,0.12075471698113208,0.07547169811320754,0.09056603773584905,0.0037735849056603774,0,James Burrows,reg,0,other,1,0,0,0,0,0,0,0,above
3,17, The One Without the Ski Trip ,Sam Simon , 6 March 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jane Sibbett']",8.3,3196,"Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.",Shana Goldberg-Meehan & Scott Silveri,25.8,3,0.09090909090909091,0.0,0.09090909090909091,0.0,0.12585034013605442,0.14965986394557823,0.18027210884353742,0.17687074829931973,0.13945578231292516,0.1326530612244898,0.013605442176870748,0,other,reg,0,other,0,0,0,0,0,0,0,0,av
3,18, The One with the Hypnosis Tape ,Robby Benson , 13 March 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Giovanni Ribisi', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jon Favreau', 'Debra Jo Rupp', 'Jeff Brooks', 'Marta Kauffman']",8.4,3310,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Frank makes a surprise announcement that he is getting married - to a woman twice his age.,Seth Kurland,28.1,3,0.125,0.125,0.25,0.0,0.14049586776859505,0.09504132231404959,0.07851239669421488,0.17355371900826447,0.09090909090909091,0.09504132231404959,0.012396694214876033,0,other,reg,0,other,1,0,0,0,1,0,0,0,av
3,19, The One with the Tiny T-Shirt ,Terry Hughes , 27 March 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Jon Favreau', 'Reg Rogers', 'Ethel Ayler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Steven Eckholdt', 'Dina Meyer', 'James Michael Tyler']",8.2,3182,"Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him.",Adam Chase,23.7,3,0.1875,0.1875,0.25,0.0,0.08016877637130802,0.14767932489451477,0.16033755274261605,0.07172995780590717,0.1308016877637131,0.14767932489451477,0.008438818565400843,0,other,reg,0,other,1,0,0,0,0,0,0,0,below
3,20, The One with the Dollhouse ,Terry Hughes , 10 April 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Dina Meyer', 'Jennifer Milmore', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Alison La Placa', 'Reg Rogers', 'Laura Dean', 'James Michael Tyler']",8.1,3170,"Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna.",Wil Calhoun,24.4,4,0.06666666666666667,0.4,0.06666666666666667,0.0,0.08487084870848709,0.16236162361623616,0.08118081180811808,0.11070110701107011,0.16605166051660517,0.12915129151291513,0.01107011070110701,0,other,reg,1,other,1,0,0,0,0,0,0,0,below
3,21, The One with the Chick and the Duck ,Michael Lembeck , 17 April 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'James Michael Tyler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jon Favreau']",8.7,3399,"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.",Chris Brown,23.2,4,0.1875,0.125,0.3125,0.0,0.16566265060240964,0.21686746987951808,0.21084337349397592,0.09036144578313253,0.09036144578313253,0.12650602409638553,0.0,0,Michael Lembeck,reg,1,other,1,0,0,0,0,0,0,0,above
3,22, The One with the Screamer ,Peter Bonerz , 24 April 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Dina Meyer', 'June Gable', 'James Michael Tyler', 'Laura Cayouette', 'Scott Sandler', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jon Favreau', 'Reg Rogers', 'Jennifer Milmore', 'Ben Stiller', 'Jeff Brooks', 'Peter Bonerz']",8.3,3223,"Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company.",Shana Goldberg-Meehan & Scott Silveri,22.6,4,0.07692307692307693,0.46153846153846156,0.0,0.0,0.11313868613138686,0.09854014598540146,0.1386861313868613,0.08394160583941605,0.19343065693430658,0.07664233576642336,0.010948905109489052,1,Peter Bonerz,reg,0,other,1,0,0,0,0,1,0,0,av
3,23, The One with Ross's Thing ,Shelley Jensen , 1 May 1997,"['Courteney Cox', 'Matt LeBlanc', 'David Schwimmer', 'Kevin McDonald', 'Robert Gant', 'Carole Goldman', 'Jennifer Aniston', 'Lisa Kudrow', 'Matthew Perry', 'Jon Favreau', 'Matt Battaglia', 'Richard Gant', 'Douglas Looper']",8.1,3159,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.,Ted Cohen & Andrew Reich,24.2,5,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.14285714285714285,0.07936507936507936,0.1349206349206349,0.18253968253968253,0.09126984126984126,0.07142857142857142,0.01984126984126984,0,other,reg,0,['ross'],0,0,0,0,0,0,0,0,below
